datazone,retailer_count,total_population,simd_decile,simd_rank,simd_quintile,income_rank,health_rank,employment_rank,education_rank,access_rank,crime_rank,housing_rank,alcohol_admissions,drug_admissions,smoking_rate,urban_rural,retailers_adj,income_quintile,access_quintile,urban_rural_2cat
S01007834,15,719,2,1050,1,825,1299,858,1309,4828,4075,719,223,266,37.14,Large Urban,20.862308762169683,Most deprived,Fourth,Urban
S01007835,19,678,6,3671,3,3244,3154,2943,5060,6530,1850,2135,58,24,15,Large Urban,28.023598820058996,Third,Least deprived,Urban
S01007836,15,558,6,3685,3,3561,3047,2256,6288,5329,3122,5241,53,0,5.56,Large Urban,26.881720430107528,Third,Fourth,Urban
S01007837,18,774,9,5763,5,5980,4964,4940,4826,4940,2900,5646,32,0,0,Large Urban,23.25581395348837,Least deprived,Fourth,Urban
S01007838,32,1003,9,6273,5,5666,5065,5318,6411,5146,5935,4489,12,18,4.17,Large Urban,31.904287138584245,Least deprived,Fourth,Urban
S01007839,19,681,4,2369,2,3048,2142,2790,3045,3398,95,1786,124,22,12.5,Large Urban,27.90014684287812,Third,Third,Urban
S01007840,25,714,3,1758,2,1852,1433,1490,2027,3998,3181,1014,197,262,14.81,Large Urban,35.0140056022409,Second,Third,Urban
S01007841,18,664,3,1725,2,1866,2151,1363.5,1598,5079,1501,948,168,158,44.44,Large Urban,27.10843373493976,Second,Fourth,Urban
S01007842,22,782,1,245,1,356,455,223,234,4818,391,489.5,292,542,32.65,Large Urban,28.132992327365727,Most deprived,Fourth,Urban
S01007843,14,712,3,1579,2,1737.5,1659,1308,1449,5477,1974,912,146,101,25,Large Urban,19.662921348314605,Second,Fourth,Urban
S01007844,21,907,1,526,1,665,767,272,1146,3872,1073,619,268,449,32.35,Large Urban,23.153252480705625,Most deprived,Third,Urban
S01007845,21,925,1,380,1,263,411,465.5,618,4644,2060,416,156,161,22.86,Large Urban,22.7027027027027,Most deprived,Fourth,Urban
S01007846,25,744,3,1759,2,1928,1808,1934,1373,3763,832,1692,88,366,51.61,Large Urban,33.60215053763441,Second,Third,Urban
S01007847,21,881,1,551,1,565,559,425,1098,3500,1926,718,111,130,26.32,Large Urban,23.83654937570942,Most deprived,Third,Urban
S01007848,17,827,1,375,1,348,577,423,434,6345,322,903,182,390,40.74,Large Urban,20.556227327690447,Most deprived,Least deprived,Urban
S01007849,25,934,2,1093,1,716,2018,1097,1010,4900,2384,785,20,158,23.08,Large Urban,26.76659528907923,Most deprived,Fourth,Urban
